PLATFORMID,NETWORKTYPE,OBSERVATIONTIME,REPORTTYPECODE,LATITUDE,LONGITUDE,MONTH,SECURITYID,DISTRIBUTIONCD,STATIONMODE,PLATFORMHEIGHT,CALLLETTER,VERSION,WINDDIRECTION,WINDDIRECTIONQC,WINDCONDITIONS,WINDCONDITIONSQC,WINDSPEED,WINDSPEEDQC,STARTDIRECTION,ENDDIRECTION,WINDGUSTSPEED,WINDGUSTSPEEDQC,WINDMEASUREMENTMODE,CLOUDCEILING,CLOUDCEILINGQC,CEILINGDETERMINATION,CEILINGDETERMINATIONQC,CLOUDCAVOK,CLOUDCAVOKQC,VISIBILITY,VISIBILITYQC,VISIBILITYTYPE,VISIBILITYTYPEQC,AIRTEMPERATURE,AIRTEMPERATUREQC,DEWPOINTTEMPERATURE,DEWPOINTTEMPERATUREQC,SEALEVELPRESSURE,SEALEVELPRESSUREQC,OBSERVATIONPERIODPP1,OBSERVATIONPERIODPP1QC,PRECIPAMOUNT1,PRECIPAMOUNT1QC,PRECIPCONDITION1,PRECIPCONDITION1QC,OBSERVATIONPERIODPP2,OBSERVATIONPERIODPP2QC,PRECIPAMOUNT2,PRECIPAMOUNT2QC,PRECIPCONDITION2,PRECIPCONDITION2QC,OBSERVATIONPERIODPP3,OBSERVATIONPERIODPP3QC,PRECIPAMOUNT3,PRECIPAMOUNT3QC,PRECIPCONDITION3,PRECIPCONDITION3QC,OBSERVATIONPERIODPP4,OBSERVATIONPERIODPP4QC,PRECIPAMOUNT4,PRECIPAMOUNT4QC,PRECIPCONDITION4,PRECIPCONDITION4QC,PRECIPHISTDUR,PRECIPHISTDURQC,PRECIPHISTCHAR,PRECIPHISTCHARQC,PRECIPDISC,PRECIPDISCQC,PRECIPBOGUS,PRECIPBOGUSQC,PRECIPAMOUNTSD,PRECIPAMOUNTSDQC,PRECIPCONDITIONSD,PRECIPCONDITIONSDQC,DEPTHWTREQUIV,DEPTHWTREQUIVQC,DEPTHWECOND,DEPTHWECONDQC,HAILSIZE,PRECIPAMOUNTSF1,PRECIPAMOUNTSF1QC,PRECIPCONDITIONSF1,PRECIPCONDITIONSF1QC,OBSERVATIONPERIODSF1,OBSERVATIONPERIODSF1QC,PRECIPAMOUNTSF2,PRECIPAMOUNTSF2QC,PRECIPCONDITIONSF2,PRECIPCONDITIONSF2QC,OBSERVATIONPERIODSF2,OBSERVATIONPERIODSF2QC,PRECIPAMOUNTSF3,PRECIPAMOUNTSF3QC,PRECIPCONDITIONSF3,PRECIPCONDITIONSF3QC,OBSERVATIONPERIODSF3,OBSERVATIONPERIODSF3QC,PRECIPAMOUNTSF4,PRECIPAMOUNTSF4QC,PRECIPCONDITIONSF4,PRECIPCONDITIONSF4QC,OBSERVATIONPERIODSF4,OBSERVATIONPERIODSF4QC,PRESENTMANUAL1,PRESENTMANUAL1QC,PRESENTMANUAL2,PRESENTMANUAL2QC,PRESENTMANUAL3,PRESENTMANUAL3QC,PRESENTMANUAL4,PRESENTMANUAL4QC,PRESENTMANUAL5,PRESENTMANUAL5QC,PRESENTMANUAL6,PRESENTMANUAL6QC,PRESENTMANUAL7,PRESENTMANUAL7QC,PRESENTAUTOMATED1,PRESENTAUTOMATED1QC,PRESENTAUTOMATED2,PRESENTAUTOMATED2QC,PRESENTAUTOMATED3,PRESENTAUTOMATED3QC,PASTMANUAL1,PASTMANUAL1QC,WXPASTPERIOD1,WXPASTPERIOD1QC,PASTMANUAL2,PASTMANUAL2QC,WXPASTPERIOD2,WXPASTPERIOD2QC,PASTAUTOMATED1,PASTAUTOMATED1QC,WXPASTAUTOPERIOD1,WXPASTAUTOPERIOD1QC,PASTAUTOMATED2,PASTAUTOMATED2QC,WXPASTAUTOPERIOD2,WXPASTAUTOPERIOD2QC,RUNWAYENDBEARING,RUNWAYDESIGNATOR,RUNWAYVISUALRANGE,CLOUDCOVER,CLOUDCOVERQC,CLOUDCOVERLO,CLOUDCOVERLOQC,CLOUDBASEHEIGHT,CLOUDBASEHEIGHTQC,CLOUDTYPELO,CLOUDTYPELOQC,CLOUDTYPEMID,CLOUDTYPEMIDQC,CLOUDTYPEHI,CLOUDTYPEHIQC,SUNSHINE,SURFACECODE,SURFACECODEQC,SOILTEMPERATURE,SOILTEMPERATUREQC,SOILDEPTH,OBSERVATIONPERIODSOILT,OBSERVATIONPERIODSOILTQC,ALTIMETERSETTING,ALTIMETERSETTINGQC,STATIONPRESSURE,STATIONPRESSUREQC,PRESSURETENDENCY,PRESSURETENDENCYQC,PRESSURE3HOURCHG,PRESSURE3HOURCHGQC,PRESSURE24HOURCHG,PRESSURE24HOURCHGQC,PRESSURETREND,ISOBARICSURFACE,ISOBARICSURFACEQC,ISOBARICSURFACEHEIGHT,ISOBARICSURFACEHEIGHTQC,SEASURFACETEMP,SEASURFACETEMPQC,REMARKSYN,REMARKMET,REMARKAWY,HORIZONTALDATUM,VERTICALDATUM,LIGHTNINGFREQUENCY,RECEIPTDTG,INSERTIONTIME,BLKSTN
KRDM,ICAO ,1/1/1994 20:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,300,1,N,,4.6,1,,,,,,840,1,,,N,,11265,1,N,1,5.5,1,1.1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,1019,1,,,1,1,3.4,1,,,,,,,,,,,,SLP 193 /,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/1/1994 21:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,320,1,N,,3,1,,,,,,1470,1,,,N,,16093,1,N,1,6.1,1,1.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,,,1019.3,1,,,1,1,2.7,1,,,,,,,,,,,,SLP 199 224 /,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/1/1994 22:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,290,1,N,,7.7,1,,,10.2,1,,22000,1,,,N,,16093,1,N,1,7.2,1,0.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1020,1,,,2,1,0.6,1,,,,,,,,,,,,SLP 206/,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/1/1994 23:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,280,1,N,,5.6,1,,,,,,22000,1,,,N,,16093,1,N,1,7.2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1021,1,,,2,1,1.6,1,,,,,,,,,,,,SLP 216 /,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/2/1994,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,,1,C,,0,1,,,,,,22000,1,,,N,,16093,1,N,1,6.1,1,-0.6,1,,,6,,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1023.4,1,,,2,1,2.6,1,,,,,,,,,,,,SLP 226/ 225 46,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/2/1994 1:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,,1,C,,0,1,,,,,,22000,1,,,N,,16093,1,N,1,6.1,1,-0.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,1023.4,1,,,2,1,4,1,,,,,,,,,,,,SLP 240,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/2/1994 2:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,130,1,N,,1.5,1,,,,,,,,,,N,,16093,1,N,1,1.6,1,-2.3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1023.4,1,,,2,1,4.4,1,,,,,,,,,,,,CLR BLO 120 SLP 244,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/2/1994 3:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,,1,C,,0,1,,,,,,,,,,N,,16093,1,N,1,1.6,1,-1.7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1024.4,1,,,2,1,1,1,,,,,,,,,,,,CLR BLO 120 SLP 256/ 222,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/2/1994 4:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,170,1,N,,2,1,,,,,,,,,,N,,16093,1,N,1,-1.2,1,-3.4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.1,1,,,2,1,1.7,1,,,,,,,,,,,,CLR BLO 120 SLP 265,,,,,9/15/2012 15:38,726835
KRDM,ICAO ,1/2/1994 5:00,SAO  ,44.25,-121.15,1,1,A,,938,RDM,0182,170,1,N,,2,1,,,,,,,,,,N,,16093,1,N,1,-1.7,1,-4.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1025.1,1,,,2,1,1.7,1,,,,,,,,,,,,CLR BLO 120 SLP 268,,,,,9/15/2012 15:38,726835
